scientific_name,aphia_id,family,common_name,hawaiian_name,status,phases,notes
Forcipiger flavissimus,,Chaetodontidae,Longnose butterflyfish,Lauwiliwili nukunuku oioi,indigenous,,
Forcipiger longirostris,,Chaetodontidae,Big longnose butterflyfish,Lauwiliwili nukunuku oioi,indigenous,,
Hemitaurichthys polylepis,,Chaetodontidae,Pyramid butterflyfish,,indigenous,,
Hemitaurichthys thompsoni,,Chaetodontidae,Thompson's butterflyfish,,indigenous,,
Heniochus diphreutes,,Chaetodontidae,Pennant butterflyfish,,indigenous,,
Prognathodes basabei,,Chaetodontidae,Basabe's butterflyfish,,endemic,,Described 2016 from mesophotic surveys
Roa excelsa,,Chaetodontidae,Hawaiian goldbanded butterflyfish,,endemic,,
Chanos chanos,,Chanidae,Milkfish,Awa,indigenous,,
Cirrhitops fasciatus,,Cirrhitidae,Redbarred hawkfish,,indigenous,,Keoki Stender lists this as endemic; other sources report it elsewhere
Cirrhitus pinnulatus,,Cirrhitidae,Stocky hawkfish,Poopaa,indigenous,,
Paracirrhites arcatus,,Cirrhitidae,Arc-eye hawkfish,Pilikoa,indigenous,,
Paracirrhites forsteri,,Cirrhitidae,Blackside hawkfish,Hilu piliko a,indigenous,,
Ariosoma marginatum,,Congridae,Large-eye conger,,endemic,,
Conger cinereus,,Congridae,Mustache conger,Puhi uha,indigenous,,
Conger marginatus,,Congridae,Mustache conger,Puhi uha,endemic,,Hawaiian population split from C. cinereus
Gorgasia hawaiiensis,,Congridae,Hawaiian garden eel,,endemic,,
Taeniura meyeni,,Dasyatidae,Blotched fantail ray,Lupe,indigenous,,
Diodon holocanthus,,Diodontidae,Balloonfish,Kokala,indigenous,,
Diodon hystrix,,Diodontidae,Porcupinefish,Kokala,indigenous,,
Hyporthodus quernus,,Epinephelidae,Hawaiian grouper,Hapuupuu,endemic,,
Fistularia commersonii,,Fistulariidae,Cornetfish,Nunu peke,indigenous,,
Galeocerdo cuvier,,Galeocerdonidae,Tiger shark,Niuhi,indigenous,,
Eviota rubra,,Gobiidae,Red dwarfgoby,,endemic,,
Eviota susanae,,Gobiidae,Susan's dwarfgoby,,endemic,,
Gnatholepis knighti,,Gobiidae,Hawaiian eyebar goby,,endemic,,
Opua nephodes,,Gobiidae,Cloudy goby,,endemic,,
Oxyurichthys lonchotus,,Gobiidae,Speartail goby,,endemic,,
Priolepis farcimen,,Gobiidae,Hawaiian gecko goby,,endemic,,
Psilogobius mainlandi,,Gobiidae,Hawaiian shrimp goby,,endemic,,
Trimma taylori,,Gobiidae,Yellow cave goby,,indigenous,,
Myripristis amaena,,Holocentridae,Brick soldierfish,Uu,indigenous,,
Myripristis berndti,,Holocentridae,Bigscale soldierfish,Uu,indigenous,,
Myripristis chryseres,,Holocentridae,Yellowfin soldierfish,Uu,indigenous,,
Myripristis kuntee,,Holocentridae,Pearly soldierfish,Uu,indigenous,,
Myripristis vittata,,Holocentridae,Whitetip soldierfish,Uu,indigenous,,
Neoniphon sammara,,Holocentridae,Bloodspot squirrelfish,Alaihi,indigenous,,
Sargocentron diadema,,Holocentridae,Crown squirrelfish,Alaihi,indigenous,,
Sargocentron ensifer,,Holocentridae,Yellowstriped squirrelfish,Alaihi,endemic,,
Sargocentron punctatissimum,,Holocentridae,Speckled squirrelfish,Alaihi,indigenous,,
Sargocentron spiniferum,,Holocentridae,Sabre squirrelfish,Ala ihi,indigenous,,
Sargocentron xantherythrum,,Holocentridae,Hawaiian squirrelfish,Alaihi,endemic,,
Kuhlia xenura,,Kuhliidae,Hawaiian flagtail,Aholehole,endemic,,
Kyphosus hawaiiensis,,Kyphosidae,Hawaiian chub,Nenue,endemic,,
Kyphosus sandwicensis,,Kyphosidae,Gray chub,Nenue,endemic,,
Kyphosus vaigiensis,,Kyphosidae,Lowfin chub,Nenue,indigenous,,
Anampses chrysocephalus,,Labridae,Psychedelic wrasse,,endemic,initial|terminal,
Anampses cuvier,,Labridae,Pearl wrasse,Opule,endemic,initial|terminal,
Bodianus albotaeniatus,,Labridae,Hawaiian hogfish,Aawa,endemic,juvenile|adult,Split from B. bilunulatus
Bodianus bathycapros,,Labridae,Hawaiian pigfish,,endemic,,
Bodianus sanguineus,,Labridae,Sunrise wrasse,,endemic,,
Cheilio inermis,,Labridae,Cigar wrasse,Kupoupou,indigenous,initial|terminal,
Cirrhilabrus jordani,,Labridae,Flame wrasse,,endemic,male|female,Mesophotic
Coris ballieui,,Labridae,Lined coris,,endemic,juvenile|initial|terminal,
Coris flavovittata,,Labridae,Yellowstripe coris,Hilu,endemic,juvenile|initial|terminal,
Coris gaimard,,Labridae,Yellowtail coris,Hinalea aki lolo,indigenous,juvenile|initial|terminal,
Coris venusta,,Labridae,Elegant coris,,endemic,initial|terminal,
Cymolutes lecluse,,Labridae,Hawaiian knifefish,,endemic,,
Gomphosus varius,,Labridae,Bird wrasse,Hinalea iiwi,indigenous,initial|terminal,
Halichoeres ornatissimus,,Labridae,Ornate wrasse,,endemic,initial|terminal,
Labroides phthirophagus,,Labridae,Hawaiian cleaner wrasse,,endemic,,
Macropharyngodon geoffroy,,Labridae,Shortnose wrasse,,endemic,initial|terminal,
Novaculichthys taeniourus,,Labridae,Rockmover wrasse,,indigenous,juvenile|adult,
Oxycheilinus unifasciatus,,Labridae,Ringtail wrasse,Poou,indigenous,initial|terminal,
Pseudocheilinus evanidus,,Labridae,Disappearing wrasse,,indigenous,,
Pseudocheilinus octotaenia,,Labridae,Eightline wrasse,,indigenous,,
Pseudocheilinus tetrataenia,,Labridae,Fourline wrasse,,indigenous,,
Pseudojuloides cerasinus,,Labridae,Smalltail wrasse,,endemic,initial|terminal,
Stethojulis balteata,,Labridae,Belted wrasse,Omaka,endemic,initial|terminal,
Thalassoma ballieui,,Labridae,Blacktail wrasse,Hinalea luahine,endemic,juvenile|adult,
Thalassoma duperrey,,Labridae,Saddle wrasse,Hinalea lauwili,endemic,juvenile|initial|terminal,
Thalassoma purpureum,,Labridae,Surge wrasse,Hou,indigenous,,
Thalassoma trilobatum,,Labridae,Christmas wrasse,Awela,indigenous,,
Xyrichtys umbrilatus,,Labridae,Blackside razorfish,,endemic,initial|terminal,
Goniistius vittatus,,Latridae,Hawaiian morwong,Kikakapu,endemic,,Also seen as Cheilodactylus vittatus
Monotaxis grandoculis,,Lethrinidae,Bigeye emperor,Mu,indigenous,juvenile|adult,
Aphareus furca,,Lutjanidae,Smalltooth jobfish,Wahanui,indigenous,,
Aprion virescens,,Lutjanidae,Green jobfish,Uku,indigenous,,
Etelis carbunculus,,Lutjanidae,Ruby snapper,Ehu,indigenous,,
Etelis coruscans,,Lutjanidae,Longtail red snapper,Onaga,indigenous,,
Lutjanus fulvus,,Lutjanidae,Blacktail snapper,Toau,introduced,,Introduced 1956
Lutjanus kasmira,,Lutjanidae,Bluestripe snapper,Taape,introduced,,Introduced 1958
Pristipomoides filamentosus,,Lutjanidae,Pink snapper,Opakapaka,indigenous,,
Malacanthus brevirostris,,Malacanthidae,Flagtail tilefish,,indigenous,,
Mobula alfredi,,Mobulidae,Reef manta ray,Hahalua,indigenous,,
Aluterus scriptus,,Monacanthidae,Scrawled filefish,Loulu,indigenous,juvenile|adult,
Cantherhines dumerilii,,Monacanthidae,Barred filefish,Oili,indigenous,,
Cantherhines sandwichiensis,,Monacanthidae,Squaretail filefish,Oili lepa,endemic,,
Cantherhines verecundus,,Monacanthidae,Shy filefish,,endemic,,
Pervagor aspricaudus,,Monacanthidae,Orangetail filefish,,indigenous,,
Pervagor spilosoma,,Monacanthidae,Fantail filefish,Oili uwiuwi,endemic,,
Mugil cephalus,,Mugilidae,Striped mullet,Amaama,indigenous,,
Mulloidichthys flavolineatus,,Mullidae,Yellowstripe goatfish,Weke a,indigenous,,
Mulloidichthys pfluegeri,,Mullidae,Orange goatfish,Weke nono,indigenous,,
Mulloidichthys vanicolensis,,Mullidae,Yellowfin goatfish,Weke ula,indigenous,,
Parupeneus chrysonemus,,Mullidae,Yellowbarbel goatfish,,endemic,,
Parupeneus cyclostomus,,Mullidae,Blue goatfish,Moano kea,indigenous,,
Parupeneus multifasciatus,,Mullidae,Manybar goatfish,Moano,indigenous,,
Parupeneus pleurostigma,,Mullidae,Sidespot goatfish,Malu,indigenous,,
Parupeneus porphyreus,,Mullidae,Whitesaddle goatfish,Kumu,endemic,,
Echidna nebulosa,,Muraenidae,Snowflake moray,Puhi kapa,indigenous,,
Enchelycore pardalis,,Muraenidae,Dragon moray,Puhi kauila,indigenous,,
Gymnomuraena zebra,,Muraenidae,Zebra moray,Puhi,indigenous,,
Gymnothorax berndti,,Muraenidae,Berndt's moray,,indigenous,,
Gymnothorax flavimarginatus,,Muraenidae,Yellowmargin moray,Puhi paka,indigenous,,
Gymnothorax meleagris,,Muraenidae,Whitemouth moray,Puhi oniio,indigenous,,
Gymnothorax steindachneri,,Muraenidae,Steindachner's moray,Puhi,endemic,,
Gymnothorax undulatus,,Muraenidae,Undulated moray,Puhi laumilo,indigenous,,
Callechelys lutea,,Ophichthidae,Mottled snake eel,Puhi,endemic,,
Myrichthys magnificus,,Ophichthidae,Magnificent snake eel,Puhi,endemic,,
Ophichthus fowleri,,Ophichthidae,Fowler's snake eel,,endemic,,
Oplegnathus fasciatus,,Oplegnathidae,Barred knifejaw,,indigenous,juvenile|adult,Rare; mostly Pearl and Hermes to Kure
Oplegnathus punctatus,,Oplegnathidae,Spotted knifejaw,,indigenous,juvenile|adult,More prevalent in the NWHI; occasional off Kauai and Niihau
Ostracion meleagris,,Ostraciidae,Spotted boxfish,Moa,indigenous,juvenile|male|female,Hawaiian subspecies camurum
Ostracion whitleyi,,Ostraciidae,Whitley's boxfish,,indigenous,male|female,
Eurypegasus papilio,,Pegasidae,Hawaiian seamoth,,endemic,,
Polydactylus sexfilis,,Polynemidae,Pacific threadfin,Moi,indigenous,,
Apolemichthys arcuatus,,Pomacanthidae,Bandit angelfish,,endemic,juvenile|adult,Hawaii and Johnston Atoll
Centropyge fisheri,,Pomacanthidae,Fisher's angelfish,,endemic,,
Centropyge loriculus,,Pomacanthidae,Flame angelfish,,indigenous,,
Centropyge potteri,,Pomacanthidae,Potter's angelfish,,endemic,juvenile|adult,
Genicanthus personatus,,Pomacanthidae,Masked angelfish,,endemic,male|female,Mesophotic specialist
Abudefduf abdominalis,,Pomacentridae,Hawaiian sergeant,Mamo,endemic,,
Abudefduf sordidus,,Pomacentridae,Blackspot sergeant,Kupipi,indigenous,,
Abudefduf vaigiensis,,Pomacentridae,Indo-Pacific sergeant,,indigenous,,Recent natural arrival
Chromis agilis,,Pomacentridae,Agile chromis,,indigenous,,
Chromis hanui,,Pomacentridae,Chocolatedip chromis,,endemic,,
Chromis leucura,,Pomacentridae,Whitetail chromis,,indigenous,,
Chromis ovalis,,Pomacentridae,Oval chromis,,endemic,,
Chromis struhsakeri,,Pomacentridae,Struhsaker's chromis,,endemic,,Mesophotic
Chromis vanderbilti,,Pomacentridae,Blackfin chromis,,indigenous,,
Chromis verater,,Pomacentridae,Threespot chromis,,endemic,,
Dascyllus albisella,,Pomacentridae,Hawaiian dascyllus,Aloiloi,endemic,juvenile|adult,
Plectroglyphidodon imparipennis,,Pomacentridae,Brighteye damselfish,,indigenous,,
Plectroglyphidodon johnstonianus,,Pomacentridae,Blue-eye damselfish,,indigenous,,
Plectroglyphidodon sindonis,,Pomacentridae,Rock damselfish,,endemic,,
Stegastes marginatus,,Pomacentridae,Hawaiian gregory,,endemic,,Formerly S. fasciolatus
Heteropriacanthus cruentatus,,Priacanthidae,Glasseye,Aweoweo,indigenous,,
Priacanthus meeki,,Priacanthidae,Hawaiian bigeye,Aweoweo,endemic,,
Rhincodon typus,,Rhincodontidae,Whale shark,Mano hihimanu,indigenous,,
Calotomus carolinus,,Scaridae,Stareye parrotfish,Ponuhunuhu,indigenous,initial|terminal,
Calotomus zonarchus,,Scaridae,Hawaiian stareye parrotfish,,endemic,initial|terminal,
Chlorurus perspicillatus,,Scaridae,Spectacled parrotfish,Uhu uliuli,endemic,initial|terminal,
Chlorurus spilurus,,Scaridae,Bullethead parrotfish,Uhu,indigenous,initial|terminal,
Scarus dubius,,Scaridae,Regal parrotfish,Uhu,endemic,initial|terminal,
Scarus psittacus,,Scaridae,Palenose parrotfish,Uhu,indigenous,initial|terminal,
Scarus rubroviolaceus,,Scaridae,Redlip parrotfish,Panuhunuhu,indigenous,initial|terminal,
Dendrochirus barberi,,Scorpaenidae,Hawaiian lionfish,Nohu,endemic,,
Pterois sphex,,Scorpaenidae,Hawaiian turkeyfish,Nohu pinao,endemic,,
Scorpaenopsis brevifrons,,Scorpaenidae,Shortsnout scorpionfish,,endemic,,
Scorpaenopsis cacopsis,,Scorpaenidae,Titan scorpionfish,Nohu,endemic,,
Scorpaenopsis diabolus,,Scorpaenidae,Devil scorpionfish,Nohu,indigenous,,
Sebastapistes ballieui,,Scorpaenidae,Spotfin scorpionfish,,endemic,,
Sebastapistes coniorta,,Scorpaenidae,Speckled scorpionfish,,endemic,,
Taenianotus triacanthus,,Scorpaenidae,Leaf scorpionfish,,indigenous,juvenile|adult,
Cephalopholis argus,,Serranidae,Peacock grouper,Roi,introduced,,Introduced 1956 from Moorea
Liopropoma aurora,,Serranidae,Sunset basslet,,endemic,,
Luzonichthys earlei,,Serranidae,Earle's splitfin anthias,,endemic,male|female,Mesophotic
Odontanthias fuscipinnis,,Serranidae,Yellow anthias,,endemic,male|female,Deep mesophotic
Pseudanthias bicolor,,Serranidae,Bicolor anthias,,indigenous,male|female,
Pseudanthias thompsoni,,Serranidae,Thompson's anthias,,endemic,male|female,Mesophotic
Aseraggodes holcomi,,Soleidae,Holcom's sole,,endemic,,
Aseraggodes therese,,Soleidae,Therese's sole,,endemic,,
Sphyraena barracuda,,Sphyraenidae,Great barracuda,Kaku,indigenous,,
Sphyrna lewini,,Sphyrnidae,Scalloped hammerhead,Mano kihikihi,indigenous,,
Dunckerocampus baldwini,,Syngnathidae,Baldwin's pipefish,,endemic,,
Halicampus edmondsoni,,Syngnathidae,Edmondson's pipefish,,endemic,,
Synodus binotatus,,Synodontidae,Twospot lizardfish,Ulae,indigenous,,
Synodus dermatogenys,,Synodontidae,Sand lizardfish,Ulae,indigenous,,
Arothron hispidus,,Tetraodontidae,Stripebelly pufferfish,Oopu hue,indigenous,,
Arothron meleagris,,Tetraodontidae,Spotted pufferfish,Oopu hue,indigenous,,
Canthigaster amboinensis,,Tetraodontidae,Ambon toby,,indigenous,,
Canthigaster coronata,,Tetraodontidae,Crown toby,,indigenous,,
Canthigaster jactator,,Tetraodontidae,Hawaiian whitespotted toby,,endemic,,
Torquigener randalli,,Tetraodontidae,Randall's puffer,,endemic,,
Enneapterygius atriceps,,Tripterygiidae,Hawaiian triplefin,,endemic,,
Zanclus cornutus,,Zanclidae,Moorish idol,Kihikihi,indigenous,,
